1;Bahama pintail;45287,48;2411
2;Glider, squirrel;77510,72;2861
3;Heron, little;72635,5;264
4;Defassa waterbuck;23204,2;1308
5;Common boubou shrike;89509,16;515
6;Dog, african wild;75863,82;1639
7;Dunnart, fat-tailed;1730,78;2070
8;Praying mantis (unidentified);37917,28;1004
9;Chacma baboon;87659,05;312
10;Baboon, olive;31256,76;1795
11;Admiral, indian red;50212,68;1160
12;African pied wagtail;21601,3;451
13;Sandhill crane;36429,95;2672
14;Magistrate black colobus;73922,53;946
15;Lizard, giant girdled;50466,27;1572
16;Wallaby, bennett's;90435,34;1651
17;Blue-tongued skink;50942,68;486
18;Golden-mantled ground squirrel;18262,35;2884
19;Lizard, giant girdled;30770,78;1566
20;Squirrel, richardson's ground;79538,28;2093
21;African elephant;16569,26;240
22;Oriental short-clawed otter;56926,23;2405
23;Ring dove;22669,63;278
24;Squirrel, golden-mantled ground;38906,01;2922
25;Creeper, black-tailed tree;36510,56;11
26;Southern sea lion;61660,9;63
27;Bonnet macaque;7373,53;2245
28;Pygmy possum;11941,59;1207
29;Porcupine, indian;26689,58;1621
30;Insect, stick;77226,78;320
31;Two-toed tree sloth;71579,3;1204
32;Red and blue macaw;61300,93;86
33;Ring-necked pheasant;23843,63;1451
34;Macaque, bonnet;39074,95;2688
35;White-faced whistling duck;79421,42;1887
36;Bulbul, african red-eyed;79495,26;1301
37;Red-headed woodpecker;52159,37;465
38;Snake, carpet;43066,81;2987
39;Malachite kingfisher;71862,64;811
40;Gecko, ring-tailed;41026,79;1832
41;Egyptian viper;72905,67;117
42;Black-tailed deer;21940,37;2973
43;American bison;29631,28;2348
44;Ground monitor (unidentified);37359,15;1091
45;South American meadowlark (unidentified);5225,91;1205
46;Snake (unidentified);95390,21;315
47;Lourie, grey;70717,87;2767
48;Cockatoo, sulfur-crested;80304,13;1144
49;Ant (unidentified);60591,36;2830
50;Savanna baboon;43025,05;715
51;Common zebra;65879,19;278
52;Bat, little brown;94958,54;2701
53;American badger;34361,7;1861
54;Common langur;18463,03;1160
55;Steenbok;28640,46;1137
56;Gray duiker;31879,27;2264
57;Francolin, swainson's;12689,58;1524
58;Dog, black-tailed prairie;15674,17;1214
59;Arctic tern;95055,79;109
60;Deer, roe;35067,49;2533
61;Cobra (unidentified);5148,3;1562
62;Bahama pintail;47485,68;2312
63;Llama;25738,24;153
64;Eland, common;13576,52;1033
65;Mocking cliffchat;1692,07;1033
66;American black bear;19869,3;984
67;Chameleon (unidentified);77494,44;2018
68;Wood pigeon;93915,68;427
69;Antelope, four-horned;73707,4;182
70;Sidewinder;25110,74;2161
71;Steller's sea lion;81709,15;127
72;Giant girdled lizard;11558,57;1522
73;Deer, swamp;74137,28;1286
74;White-browed owl;70378,3;980
75;Worm snake (unidentified);57035,67;1704
76;Malagasy ground boa;39753,15;1126
77;Heron, striated;83562,55;1690
78;Dove, mourning collared;57071,25;2282
79;Lion, california sea;51034,02;2040
80;Ibis, puna;53547,66;2672
81;Bird (unidentified);13643,74;1227
82;Fairy penguin;85003,27;2563
83;Eagle, long-crested hawk;59630,86;616
84;Antelope, four-horned;77,3;623
85;Canadian river otter;23303,54;1555
86;Butterfly, tropical buckeye;41130,2;1992
87;Cape white-eye;63908,97;396
88;Flamingo, chilean;61112,85;789
89;Goldeneye, barrows;89815,8;813
90;Dark-winged trumpeter;69779,25;2926
91;Kangaroo, western grey;93096,12;535
92;Otter, cape clawless;81569,79;572
93;Goose, egyptian;59120,03;433
94;Vicuna;27176,49;1015
95;Eagle, white-bellied sea;6433,48;2632
96;Lory, rainbow;75076,92;1282
97;White-necked raven;5648,09;2197
98;Two-toed tree sloth;78873,03;667
99;Marmot, hoary;96450,66;1642
100;Gull, swallow-tail;21719,23;1729
101;Ibex;7063,45;2377
102;Dragon, komodo;17176,48;825
103;Red squirrel;64880,56;1818
104;Netted rock dragon;53721,96;1580
105;Anteater, australian spiny;92324,53;257
106;American racer;18771;411
107;Kalahari scrub robin;51159,63;2333
108;Common langur;77443,37;2581
109;Amazon parrot (unidentified);96608,41;1307
110;Wallaby, tammar;4900,94;1652
111;Penguin, fairy;89237,33;1540
112;Peacock, blue;54710,06;1461
113;Land iguana;54460,72;2168
114;Black-winged stilt;55061,77;1324
115;Seal, common;20496,08;475
116;Stork, jabiru;63304,03;291
117;Monster, gila;33569,75;1066
118;Bustard, stanley;98353;225
119;Turtle, snake-necked;879,22;712
120;Black spider monkey;46783,37;388
121;Tortoise, asian foreset;65210,33;2024
122;Cockatoo, red-tailed;87067,97;1263
123;Sage hen;199,3;214
124;Tortoise, desert;91166,32;1088
125;Desert spiny lizard;83856,24;740
126;Red-tailed hawk;82308,14;162
127;Fox, grey;8098,13;584
128;Brocket, brown;150,61;2486
129;Eleven-banded armadillo (unidentified);75856,76;2409
130;Steenbok;73498,58;2521
131;Kookaburra, laughing;62183,55;2414
132;Mule deer;20052,4;1458
133;Chital;56759,33;2498
134;Olive baboon;15470,3;1170
135;Woylie;53257,7;48
136;Arctic lemming;11161,14;2407
137;Northern elephant seal;96333,42;1985
138;Savannah deer;65225,59;330
139;Grouse, greater sage;5001,69;798
140;Nuthatch, red-breasted;81379,92;626
141;Egyptian viper;76469,66;2129
142;Owl, madagascar hawk;84225,92;2396
143;Comb duck;81223,12;1524
144;Zebra, plains;78682,19;2585
145;Grizzly bear;60090,22;2285
146;Fat-tailed dunnart;48791,5;2444
147;Cat, african wild;48381,25;2501
148;Eurasian beaver;77441,42;1461
149;Black-winged stilt;83078,62;208
150;Coqui partridge;72803,01;2861
151;Crane, blue;1940,76;2172
152;Skua, long-tailed;70308,26;2402
153;Asian water dragon;24169,99;932
154;Wambenger, red-tailed;57266,17;2865
155;Dove, galapagos;48336,98;816
156;Stork, greater adjutant;54721,8;2597
157;African lynx;87392,56;723
158;Baboon, yellow;74463,05;403
159;Weeper capuchin;36639,28;688
160;Bat-eared fox;91608,95;2905
161;Darwin ground finch (unidentified);22278,26;582
162;Jungle cat;68306,02;2210
163;Dingo;66678,27;2743
164;Squirrel, richardson's ground;74001,26;1935
165;Kangaroo, eastern grey;86414,71;1839
166;Mocking cliffchat;31538,58;2068
167;American beaver;28424,4;2114
168;Comb duck;45542,18;1950
169;Monkey, bleeding heart;16026,68;563
170;White-lipped peccary;21129,29;600
171;Butterfly, canadian tiger swallowtail;93632,93;1969
172;Camel, dromedary;57601,14;1835
173;Elk, Wapiti;4929,69;417
174;Cormorant, pied;4753,13;2083
175;Peccary, white-lipped;18991,34;1076
176;Wildebeest, blue;67632,29;1518
177;Squirrel, nelson ground;59945,05;30
178;Galapagos tortoise;29236,34;1819
179;Gull, dusky;41364,4;2186
180;Crane, wattled;50578,81;2812
181;Yellow-throated sandgrouse;15892,13;406
182;Bat, asian false vampire;84720,94;1618
183;Skunk, western spotted;39088,48;528
184;Squirrel, pine;5561,79;270
185;Mississippi alligator;14833,16;2631
186;Russian dragonfly;64440,05;2173
187;Seal, southern elephant;54270,79;2439
188;Canada goose;72347,93;1036
189;Crane, sandhill;15697,8;1626
190;Red-tailed phascogale;547,18;466
191;Glider, squirrel;35271,45;777
192;Quail, gambel's;7768,72;70
193;White-fronted bee-eater;42771;2952
194;Asiatic jackal;62918,28;1179
195;Kudu, greater;72585,61;1701
196;Indian peacock;20081,44;1671
197;Wild water buffalo;24351,63;485
198;Bat, asian false vampire;12334,96;740
199;Bird, secretary;49584,64;281
200;Eurasian hoopoe;53818,33;2652
201;Kingfisher, malachite;16130,05;54
202;Andean goose;79525,32;1771
203;Eleven-banded armadillo (unidentified);72777,48;2564
204;Tayra;77647,93;1184
205;Asian water buffalo;50369,51;2451
206;Seal, northern fur;84760,49;330
207;Cat, kaffir;74800;2218
208;Gaur;55732,66;2347
209;Defassa waterbuck;87787,31;2515
210;Snake-necked turtle;90782,92;2035
211;Burchell's gonolek;77953,29;634
212;Blue and gold macaw;21591,64;2292
213;Snake, racer;29823,65;2247
214;Greater rhea;63855,78;1108
215;Caracara, yellow-headed;84631,58;1412
216;Steller sea lion;73615,52;537
217;Toucan, white-throated;59670,89;1494
218;Parrot, hawk-headed;54951,54;728
219;Red-necked wallaby;11612,15;1146
220;Spectacled caiman;95690,62;166
221;Cliffchat, mocking;83158,68;2566
222;Common goldeneye;60520,83;903
223;Antelope, sable;63668,73;2002
224;Cormorant, great;68791,31;1670
225;Southern elephant seal;60800,2;1171
226;Blacksmith plover;86705,41;1772
227;Mexican wolf;62015,44;571
228;White-throated monitor;45562,89;883
229;Red howler monkey;60893,69;644
230;Numbat;32646,66;2036
231;Arctic fox;88449,39;2270
232;Oystercatcher, blackish;84926,57;777
233;Southern screamer;75939,86;1447
234;Lion, african;14716,61;2441
235;White-winged tern;12955,68;2557
236;Antelope, sable;28167,67;2247
237;Echidna, short-beaked;74948,09;860
238;Capuchin, black-capped;25821,03;2271
239;Common dolphin;24864,97;1409
240;Grouse, sage;50334,82;916
241;Plover, blacksmith;12173,34;2369
242;Verreaux's sifaka;34764,13;2946
243;Pelican, eastern white;95542,83;2230
244;Kori bustard;57442,98;1646
245;Lion, mountain;34642,93;2444
246;Bulbul, african red-eyed;47527,36;129
